table,workload,threads,ops,read_frac_config,read_frac_measured,key_space,throughput_mops,p50_ns,p99_ns,p999_ns,max_ns,insert_attempts,insert_successes,remove_attempts,remove_successes,lookup_attempts,lookup_hits,wall_seconds,seed,repeat,git_sha
cuckoo_optimistic,trace,2,990000,0.900000,0.604243,10000000,22.747552,58,189,250,14792,354037,354037,37762,37762,598201,233020,0.043521,45,3,2014b36
cuckoo_optimistic,trace,4,980000,0.900000,0.604296,10000000,37.641033,72,346,466,55292,350028,350028,37762,37762,592210,220324,0.026035,45,3,2014b36
cuckoo_optimistic,trace,8,960000,0.900000,0.603430,10000000,35.973245,108,738,915,32833,343958,343954,36749,29924,579293,205659,0.026686,45,3,2014b36
cuckoo_optimistic,trace,16,920000,0.900000,0.604221,10000000,28.690676,364,1358,1713,9677708,328568,328558,35549,31457,555883,197354,0.032066,45,3,2014b36
cuckoo_striped,trace,1,995000,0.900000,0.604441,10000000,14.010335,50,170,243,12459,355819,355819,37762,37762,601419,245601,0.071019,45,3,2014b36
cuckoo_striped,trace,2,990000,0.900000,0.604243,10000000,15.137306,58,2190,5272,14583,354037,354037,37762,37762,598201,233230,0.065401,45,3,2014b36
cuckoo_striped,trace,4,980000,0.900000,0.604296,10000000,14.679265,76,5849,12439,41208,350028,350028,37762,37762,592210,220762,0.066761,45,3,2014b36
cuckoo_striped,trace,8,960000,0.900000,0.603430,10000000,9.700154,92,20204,42563,96417,343958,343953,36749,31296,579293,208320,0.098967,45,3,2014b36
cuckoo_striped,trace,16,920000,0.900000,0.604221,10000000,7.077470,92,56410,125014,314541,328568,328558,35549,28149,555883,195094,0.129990,45,3,2014b36
hopscotch,trace,1,995000,0.900000,0.604441,10000000,5.787055,53,1383,3364,933916,355819,355819,37762,37762,601419,245601,0.171935,45,3,2014b36
hopscotch,trace,2,990000,0.900000,0.604243,10000000,8.570513,60,2891,5451,130542,354037,354037,37762,37762,598201,232654,0.115512,45,3,2014b36
hopscotch,trace,4,980000,0.900000,0.604296,10000000,6.900111,70,9084,22316,130417,350028,350028,37762,37762,592210,219949,0.142027,45,3,2014b36
hopscotch,trace,8,960000,0.900000,0.603430,10000000,5.592715,71,28486,60040,158500,343958,343953,36749,33196,579293,208065,0.171652,45,3,2014b36
hopscotch,trace,16,920000,0.900000,0.604221,10000000,6.954764,68,57730,194807,823792,328568,328558,35549,30378,555883,192998,0.132283,45,3,2014b36
chaining_coarse,uniform,8,460000,1.000000,1.000000,10000000,5.139727,77,31911,88129,199459,0,0,0,0,460000,4542,0.089499,45,3,2014b36
chaining_coarse,uniform,8,460000,0.500000,0.500341,10000000,4.655044,82,32400,94569,278458,114669,112798,115174,1942,230157,3738,0.098818,45,3,2014b36
chaining_coarse,uniform,8,460000,0.100000,0.100413,10000000,4.773744,82,32006,98263,267166,206991,202507,206819,4461,46190,935,0.096360,45,3,2014b36
chaining_fine,uniform,8,460000,1.000000,1.000000,10000000,49.518721,88,1301,1957,5000,0,0,0,0,460000,4542,0.009289,45,3,2014b36
chaining_fine,uniform,8,460000,0.500000,0.500341,10000000,33.423249,117,1437,2375,55083,114669,112799,115174,1934,230157,3733,0.013763,45,3,2014b36
chaining_fine,uniform,8,460000,0.100000,0.100413,10000000,25.409100,204,1625,3425,47833,206991,202507,206819,4461,46190,939,0.018104,45,3,2014b36
cuckoo_optimistic,uniform,8,460000,1.000000,1.000000,10000000,72.400093,59,229,313,20625,0,0,0,0,460000,4542,0.006354,45,3,2014b36
cuckoo_optimistic,uniform,8,460000,0.500000,0.500341,10000000,37.904020,121,1265,2390,35709,114669,112798,115174,1933,230157,3717,0.012136,45,3,2014b36
cuckoo_optimistic,uniform,8,460000,0.100000,0.100413,10000000,26.642855,227,753,922,17334,206991,202507,206819,4458,46190,940,0.017265,45,3,2014b36
cuckoo_striped,uniform,8,460000,1.000000,1.000000,10000000,8.368385,106,24005,40052,77250,0,0,0,0,460000,4542,0.054969,45,3,2014b36
cuckoo_striped,uniform,8,460000,0.500000,0.500341,10000000,7.454694,110,25227,46417,132125,114669,112798,115174,1933,230157,3719,0.061706,45,3,2014b36
cuckoo_striped,uniform,8,460000,0.100000,0.100413,10000000,6.415162,113,26578,49776,100375,206991,202503,206819,4455,46190,938,0.071705,45,3,2014b36
hopscotch,uniform,8,460000,1.000000,1.000000,10000000,8.265434,56,5251,32649,2133875,0,0,0,0,460000,4542,0.055653,45,3,2014b36
hopscotch,uniform,8,460000,0.500000,0.500341,10000000,5.765371,74,28812,63544,195958,114669,112798,115174,1935,230157,3728,0.079787,45,3,2014b36
hopscotch,uniform,8,460000,0.100000,0.100413,10000000,3.601919,94,41923,110284,324709,206991,202508,206819,4459,46190,939,0.127710,45,3,2014b36
chaining_coarse,uniform,8,460000,0.950000,0.950102,100000,6.990071,44,28426,65438,211000,11445,5854,11508,5832,437047,218681,0.065808,45,3,2014b36
chaining_fine,uniform,8,460000,0.950000,0.950102,100000,55.987464,90,306,436,17416,11445,5854,11508,5840,437047,218667,0.008216,45,3,2014b36
cuckoo_optimistic,uniform,8,460000,0.950000,0.950102,100000,107.548879,37,313,436,7209,11445,5849,11508,5844,437047,218578,0.004277,45,3,2014b36
cuckoo_striped,uniform,8,460000,0.950000,0.950102,100000,9.462660,92,22367,33090,90250,11445,5853,11508,5834,437047,218688,0.048612,45,3,2014b36
hopscotch,uniform,8,460000,0.950000,0.950102,100000,31.892305,44,5466,28131,90166,11445,5850,11508,5842,437047,218621,0.014424,45,3,2014b36
